,Logistic Regression,Logistic Regression,Logistic Regression,Logistic Regression,Naive Bayes,,,,Random forest,Random forest,Random forest,Random forest,Logistic Regression 5-Fold,Logistic Regression,Logistic Regression,Logistic Regression,Naive Bayes 5-Fold,,,,Random forest 5-Fold,Random forest,Random forest,Random forest
Embbedded Data,정확도,F1-score,재현율,정밀도,정확도,F1-score,재현율,정밀도,정확도,F1-score,재현율,정밀도,정확도,F1-score,재현율,정밀도,정확도,F1-score,재현율,정밀도,정확도,F1-score,재현율,정밀도
사건원문_2gram,0.803,0.719,0.716,0.721,0.676,0.619,0.748,0.528,0.765,0.624,0.555,0.714,0.803,0.723,0.733,0.714,0.677,0.618,0.743,0.529,0.771,0.638,0.572,0.719
사건원문_2gram,0.838,0.779,0.813,0.748,0.711,0.653,0.774,0.564,0.797,0.691,0.650,0.739,0.830,0.763,0.781,0.746,0.708,0.649,0.769,0.561,0.797,0.689,0.643,0.744
사건원문_2gram,0.845,0.783,0.797,0.769,0.720,0.660,0.775,0.574,0.822,0.731,0.690,0.777,0.848,0.788,0.809,0.769,0.731,0.672,0.788,0.586,0.825,0.739,0.706,0.775
영어태그_5%_2gram,0.923,0.924,0.922,0.926,0.751,0.747,0.724,0.771,0.864,0.866,0.869,0.863,0.922,0.924,0.924,0.923,0.753,0.752,0.736,0.768,0.866,0.868,0.871,0.866
영어태그_5%_3gram,0.955,0.956,0.956,0.955,0.791,0.793,0.787,0.798,0.899,0.901,0.908,0.894,0.952,0.953,0.953,0.952,0.792,0.792,0.780,0.804,0.895,0.897,0.902,0.892
영어태그_5%_4gram,0.972,0.973,0.975,0.970,0.814,0.815,0.804,0.826,0.917,0.919,0.932,0.908,0.971,0.972,0.972,0.971,0.811,0.813,0.804,0.823,0.918,0.920,0.926,0.914
영어태그_10%_2gram,0.923,0.924,0.921,0.927,0.749,0.747,0.729,0.765,0.859,0.862,0.865,0.858,0.921,0.922,0.923,0.921,0.750,0.750,0.741,0.760,0.864,0.866,0.871,0.861
영어태그_10%_3gram,0.953,0.954,0.953,0.955,0.784,0.788,0.788,0.788,0.894,0.897,0.906,0.888,0.953,0.953,0.953,0.954,0.787,0.789,0.783,0.796,0.892,0.895,0.900,0.890
영어태그_10%_4gram,0.968,0.969,0.971,0.966,0.811,0.814,0.810,0.817,0.913,0.916,0.926,0.905,0.969,0.970,0.969,0.971,0.808,0.810,0.805,0.815,0.916,0.918,0.925,0.911
한글태그_5%_2gram,0.799,0.714,0.713,0.715,0.689,0.632,0.759,0.541,0.767,0.633,0.572,0.709,0.803,0.723,0.733,0.714,0.687,0.627,0.749,0.539,0.770,0.643,0.589,0.709
한글태그_5%_3gram,0.833,0.772,0.803,0.743,0.718,0.663,0.788,0.572,0.797,0.701,0.679,0.724,0.827,0.759,0.778,0.742,0.716,0.658,0.777,0.570,0.798,0.697,0.660,0.737
한글태그_5%_4gram,0.840,0.773,0.782,0.765,0.728,0.669,0.784,0.583,0.833,0.753,0.729,0.780,0.846,0.785,0.807,0.765,0.737,0.679,0.795,0.592,0.824,0.741,0.720,0.763
한글태그_10%_2gram,0.798,0.714,0.717,0.711,0.686,0.630,0.758,0.539,0.772,0.644,0.586,0.715,0.799,0.718,0.727,0.710,0.686,0.626,0.748,0.539,0.768,0.638,0.582,0.707
한글태그_10%_3gram,0.833,0.771,0.802,0.743,0.716,0.660,0.784,0.570,0.805,0.713,0.689,0.738,0.825,0.756,0.774,0.740,0.714,0.655,0.774,0.567,0.798,0.695,0.658,0.737
한글태그_10%_4gram,0.842,0.778,0.789,0.767,0.729,0.671,0.789,0.584,0.826,0.743,0.717,0.770,0.843,0.781,0.801,0.762,0.735,0.677,0.794,0.590,0.823,0.740,0.717,0.764
